tt來源 tt編號 tt周期 tt周期內開始時間 tt目的 tt大小
1 25 22 21 4 467
1 1 27 10 7 874
1 11 25 16 5 1146
1 24 34 22 2 891
2 30 5 5 1 345
2 3 33 32 1 726
2 10 24 3 3 1042
3 4 39 22 2 1411
3 5 30 14 7 928
3 6 18 6 4 1432
3 7 30 11 5 796
3 9 12 10 6 875
3 15 28 21 7 200
3 19 38 38 1 1067
4 0 14 11 6 1208
4 2 22 22 2 1205
4 16 17 17 2 1282
4 23 11 3 7 150
4 26 25 13 3 582
4 29 20 17 2 220
5 13 20 15 2 439
5 18 4 1 6 36
5 28 29 27 1 365
6 8 13 6 7 1101
6 12 22 2 5 970
6 17 38 26 7 325
6 20 33 23 7 59
6 21 17 3 1 1305
7 14 29 25 2 243
7 27 17 3 1 1305
